"","trip_id","start_date","start_station_name","start_station_id","end_date","end_station_name","end_station_id","bike_number","zip_code","subscriber_type","c_subscription_type","member_birth_year","member_gender","bike_share_for_all_trip"
"1",3.7892e+19,"2018-04-30 22:59:28 UTC","Sanchez St at 17th St","106","2018-04-30 23:06:48 UTC","Market St at Franklin St","75","3789","","Subscriber","Subscriber","1989","Male","No"
"2",2.2302e+19,"2018-04-30 22:17:32 UTC","William St at 10th St","295","2018-04-30 22:22:54 UTC","5th St at Virginia St","296","2230","","Subscriber","Subscriber","1993","Male","Yes"
"3",1.4092e+19,"2018-04-30 21:04:38 UTC","13th St at Franklin St","338","2018-04-30 21:14:45 UTC","Market St at Brockhurst St","214","1409","","Subscriber","Subscriber","1987","Male","No"
"4",1.4742e+19,"2018-04-30 20:42:11 UTC","32nd St at Adeline St","213","2018-04-30 20:50:22 UTC","14th St at Mandela Pkwy","230","1474","","Subscriber","Subscriber","1998","Male","Yes"
"5",2.9742e+19,"2018-04-30 18:57:22 UTC","65th St at Hollis St","157","2018-04-30 19:38:58 UTC","Downtown Berkeley BART","245","2974","","Subscriber","Subscriber","1997","Male","Yes"
"6",3.5772e+19,"2018-04-30 19:29:05 UTC","Webster St at 19th St","337","2018-04-30 19:36:03 UTC","El Embarcadero at Grand Ave","197","3577","","Subscriber","Subscriber","1988","Male","No"
"7",1.8712e+19,"2018-04-30 18:58:55 UTC","Julian St at The Alameda","276","2018-04-30 19:07:25 UTC","Santa Clara St at Almaden Blvd","314","1871","","Subscriber","Subscriber","1994","Male","Yes"
"8",1.2222e+19,"2018-04-30 18:48:13 UTC","26th Ave at International Blvd","226","2018-04-30 18:54:08 UTC","Fruitvale BART Station","237","1222","","Subscriber","Subscriber","1989","Male","Yes"
"9",1.8462e+19,"2018-04-30 18:05:50 UTC","5th St at Virginia St","296","2018-04-30 18:15:13 UTC","San Fernando at 7th St","280","1846","","Subscriber","Subscriber","1994","Male","Yes"
"10",2.3492e+19,"2018-04-30 17:52:00 UTC","26th Ave at International Blvd","226","2018-04-30 18:00:04 UTC","Foothill Blvd at Harrington Ave","228","2349","","Subscriber","Subscriber","1961","Female","No"
"11",1.20202e+18,"2018-04-30 17:35:58 UTC","Bryant St at 2nd St","343","2018-04-30 17:40:05 UTC","Folsom St at 3rd St","36","120","","Subscriber","Subscriber","1975","Male","No"
"12",2.6762e+19,"2018-04-30 17:06:46 UTC","University Ave at Oxford St","258","2018-04-30 17:11:02 UTC","Parker St at Fulton St","266","2676","","Subscriber","Subscriber","1996","Male","Yes"
